x_position,y_position,x_velocity,y_velocity,angle,angular_velocity,left_leg,right_leg,reward,magnitude_velocity,both_legs_contact,angle_velocity,action
-0.0005640030140057206,1.3894782066345215,-0.021442588418722153,-0.4528597295284271,0.0016024073120206594,0.023538721725344658,0,0,5.409930375935272,0.4533671028284507,0,3.7718618841608986e-05,2
-0.0008781432989053428,1.3801653385162354,-0.03207600116729736,-0.4139048457145691,0.002247042488306761,0.012894190847873688,0,0,4.388931758848554,0.4151458602828436,0,2.8973794542253017e-05,2
-0.0012824058067053556,1.3720619678497314,-0.04064695164561272,-0.3601488769054413,0.002470343839377165,0.0044664861634373665,0,0,5.759032086892785,0.36243537129400155,0,1.1033756891265512e-05,2
-0.0017824172973632812,1.364457607269287,-0.049769558012485504,-0.3379681706428528,0.002239754656329751,-0.004612503107637167,0,0,2.565662877498494,0.3416130661595096,0,-1.0330875738873146e-05,2
-0.002302455948665738,1.357465147972107,-0.051674943417310715,-0.3107755780220032,0.0019189441809430718,-0.006416902877390385,0,0,3.088310780711123,0.31504247655277984,0,-1.2313678780628834e-05,2
-0.0029497146606445312,1.3511476516723633,-0.06379152089357376,-0.2807771861553192,0.000995468464680016,-0.018471334129571915,0,0,3.1349473892513915,0.287932610523466,0,-1.8387630916549824e-05,2
-0.0036280632484704256,1.3455020189285278,-0.06674296408891678,-0.25091877579689026,-7.274172094184905e-05,-0.021366331726312637,0,0,3.1855630088366924,0.25964369816455546,0,1.5542237861154717e-06,2
-0.004162502475082874,1.341033935546875,-0.0530545637011528,-0.19858042895793915,-0.0004573790356516838,-0.007693504448980093,0,0,5.518000931081116,0.20554555574267053,0,3.518847734085284e-06,2
-0.004774570465087891,1.336477518081665,-0.06279782950878143,-0.2025102823972702,0.0011108815670013428,0.03136798366904259,0,0,-0.2877096342701566,0.2120235353723547,0,3.4846114431275055e-05,1
-0.005405330564826727,1.3330974578857422,-0.06458155810832977,-0.15022121369838715,0.0025944143999367952,0.02967345155775547,0,0,4.74024730503599,0.16351510873012265,0,7.698522676946595e-05,2
-0.006111335940659046,1.3296219110488892,-0.07400499284267426,-0.15448017418384552,0.005966199561953545,0.067441925406456,0,0,-0.7975934329738255,0.1712917488609543,0,0.0004023719811812043,1
-0.00690116873010993,1.3260446786880493,-0.0845257118344307,-0.15902051329612732,0.011443732306361198,0.10956057161092758,0,0,-1.1001622141439487,0.18008920093492234,0,0.0012537818402051926,1
-0.007781410124152899,1.3223583698272705,-0.09586447477340698,-0.16391004621982574,0.019191527739167213,0.15497030317783356,0,0,-1.4162731450197146,0.18988549162122947,0,0.0029741169419139624,1
-0.008721351623535156,1.3185675144195557,-0.10333448648452759,-0.16862556338310242,0.028432650491595268,0.1848396360874176,0,0,-1.3639774458440843,0.19776905143104093,0,0.005255480762571096,1
-0.009748077020049095,1.3146816492080688,-0.1142139881849289,-0.17295868694782257,0.03984628990292549,0.22829362750053406,0,0,-1.7332892519819711,0.2072668354618804,0,0.009096654132008553,1
